TreeName,BotanicalName,Latitude,Longitude,Link
Red Bead Tree | Aanai Kundumani,Adenanthera pavonina L.,13.04501,80.2521,https://stellamariscollege.edu.in/FLORA/Adenanihera_pavonina_L.pdf
Red Bead Tree | Aanai Kundumani,Adenanthera pavonina L.,13.04502,80.25232,https://stellamariscollege.edu.in/FLORA/Adenanihera_pavonina_L.pdf
Cashew nut | Mundhiri Maram,Anacardium occidentale L.,13.04569,80.25319,https://stellamariscollege.edu.in/FLORA/Anacardium_occideniale_L.pdf
Christmas Tree | Christmas Maram,Araucaria heterophylla (Salisb.) Franco,13.04715,80.25393,https://stellamariscollege.edu.in/FLORA/Araucaria_heierophylla_Franco.pdf
Christmas Tree | Christmas Maram,Araucaria heterophylla (Salisb.) Franco,13.04535,80.25372,https://stellamariscollege.edu.in/FLORA/Araucaria_heierophylla_Franco.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss. ,13.04745,80.25403,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss. ,13.04644,80.25247,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss. ,13.04654,80.25257,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss. ,13.04699,80.25277,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss. ,13.04709,80.25276,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss. ,13.04712,80.25275,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss. ,13.04553,80.25413,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss. ,13.04503,80.25414,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss,13.04502,80.25235,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss.,13.04767,80.25386,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss.,13.04772,80.25386,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss.,13.04697,80.25313,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss.,13.04752,80.25344,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss.,13.04639,80.25302,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss.,13.04617,80.2526,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss.,13.04502,80.25236,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss.,13.04692,80.25272,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss.,N13.04683,80.25445,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Neem tree | Vaeppa Maram,Azadirachta indica A.Juss.,N13.04672,80.25446,https://stellamariscollege.edu.in/FLORA/Azadirachia_indica.pdf
Great fan Palm | Panai maram,Borassus flabellifer L.,13.04484,80.25426,https://stellamariscollege.edu.in/FLORA/Borassus_flabellifer_L.pdf
Great fan Palm | Panai maram,Borassus flabellifer L. ,13.04722,80.25421,https://stellamariscollege.edu.in/FLORA/Borassus_flabellifer_L.pdf
Great fan Palm | Panai maram,Borassus flabellifer L. ,13.04737,80.25412,https://stellamariscollege.edu.in/FLORA/Borassus_flabellifer_L.pdf
Indian Sago Palm | Koonthal Panai,Caryota urens L.,13.04769,80.25386,https://stellamariscollege.edu.in/FLORA/Caryota_urens_L.pdf
Golden Shower | Sarakkondrai,Cassia fistula L.,13.04548,80.25391,https://stellamariscollege.edu.in/FLORA/Cassia_fisíula_L.pdf
Australian Pine | Savukku Maram,Casuarina equisetifolia L.,13.04655,80.25435,https://stellamariscollege.edu.in/FLORA/Casuarina_equisetifolia_L.pdf
Silk Cotton tree | Ilavam,Ceiba pentandra L.,13.04656,80.25386,https://stellamariscollege.edu.in/FLORA/Ceiba_pentandra_L_Gaertn.pdf
Citron | Narathai,Citrus medica L.,13.04659,80.25387,https://stellamariscollege.edu.in/FLORA/Citrus_medica_L.pdf
Citron | Narathai,Citrus medica L.,13.04517,80.25389,https://stellamariscollege.edu.in/FLORA/Citrus_medica_L.pdf
Indian Lime | Elumichai,Citrus x aurantifolia (Christm.) Swingle,N13.04665,80.25386,https://stellamariscollege.edu.in/FLORA/Citrus_x_aurantiifolia_Christm_Swingle.pdf
Indian Lime | Elumichai,Citrus x aurantifolia (Christm.) Swingle,13.04529,80.25389,https://stellamariscollege.edu.in/FLORA/Citrus_x_aurantiifolia_Christm_Swingle.pdf
Indian Lime | Elumichai,Citrus x aurantifolia (Christm.) Swingle,N13.04556,80.25443,https://stellamariscollege.edu.in/FLORA/Citrus_x_aurantiifolia_Christm_Swingle.pdf
Coconut | Thennai,Cocos nucifera L.,13.04604,80.25325,https://stellamariscollege.edu.in/FLORA/Cocos_nucifera_L.pdf
Coconut | Thennai,Cocos nucifera L.,13.046,80.25341,https://stellamariscollege.edu.in/FLORA/Cocos_nucifera_L.pdf
Coconut | Thennai,Cocos nucifera L.,13.04598,80.25345,https://stellamariscollege.edu.in/FLORA/Cocos_nucifera_L.pdf
Coconut | Thennai,Cocos nucifera L.,13.04597,80.25347,https://stellamariscollege.edu.in/FLORA/Cocos_nucifera_L.pdf
Coconut | Thennai,Cocos nucifera L.,13.04599,80.25348,https://stellamariscollege.edu.in/FLORA/Cocos_nucifera_L.pdf
Coconut | Thennai,Cocos nucifera L.,13.04602,80.25359,https://stellamariscollege.edu.in/FLORA/Cocos_nucifera_L.pdf
Coconut | Thennai,Cocos nucifera L.,13.04603,80.2537,https://stellamariscollege.edu.in/FLORA/Cocos_nucifera_L.pdf
Coconut | Thennai,Cocos nucifera L.,13.04601,80.25375,https://stellamariscollege.edu.in/FLORA/Cocos_nucifera_L.pdf
